Label,High,Med,Low
Carman (1937),100.0,0.0,0.0
Morcom (1946),100.0,0.0,0.0
Rose (1949),100.0,0.0,0.0
Leva (1949),100.0,0.0,0.0
Ergun (1952),100.0,0.0,0.0
Wentz (1963),100.0,0.0,0.0
Kurten (1966),100.0,0.0,0.0
Handley (1968),100.0,0.0,0.0
Mehta (1969),100.0,0.0,0.0
Hicks (1970),100.0,0.0,0.0
Tallmadge (1970),100.0,0.0,0.0
Reichelt (1972),100.0,0.0,0.0
Kuo (1978),100.0,0.0,0.0
Macdonald (1979),100.0,0.0,0.0
Kta (1981),100.0,0.0,0.0
Jones (1983),100.0,0.0,0.0
Foscolo (1983),100.0,0.0,0.0
Fahien (1983),100.0,0.0,0.0
Meyer (1985),100.0,0.0,0.0
Paterson (1986),100.0,0.0,0.0
Stichlmair (1989),100.0,0.0,0.0
Watanabe (1989),100.0,0.0,0.0
Comiti (1989),100.0,0.0,0.0
Fand (1990),100.0,0.0,0.0
Foumeny (1993),100.0,0.0,0.0
Lee (1994),100.0,0.0,0.0
Liu (1994),100.0,0.0,0.0
Hayes (1995),100.0,0.0,0.0
Avontuur (1996),100.0,0.0,0.0
Critoph (1996),100.0,0.0,0.0
Oneill (1997),100.0,0.0,0.0
Raichura (1999),100.0,0.0,0.0
Eisfeld (2001),100.0,0.0,0.0
Yu (2002),100.0,0.0,0.0
Felice (2004),100.0,0.0,0.0
Nemec (2005),100.0,0.0,0.0
Montillet (2007),100.0,0.0,0.0
Carpinlioglu (2008),100.0,0.0,0.0
Ozahi (2008),100.0,0.0,0.0
Cheng (2011),100.0,0.0,0.0
Harrison (2013),100.0,0.0,0.0
Erdim (2015),100.0,0.0,0.0
Guo (2017),100.0,0.0,0.0
Seckendorff (2020),100.0,0.0,0.0
Cheng (2021),100.0,0.0,0.0
Reger (2023),100.0,0.0,0.0
Dixon (2023),100.0,0.0,0.0
Wu (2025),100.0,0.0,0.0
Xu (2026),100.0,0.0,0.0
