Label,High,Med,Low
Fand (1990),100.0,0.0,0.0
Seckendorff (2020),100.0,0.0,0.0
Harrison (2013),100.0,0.0,0.0
Ergun (1952),100.0,0.0,0.0
Kta (1981),100.0,0.0,0.0
Wentz (1963),100.0,0.0,0.0
Paterson (1986),100.0,0.0,0.0
Jones (1983),100.0,0.0,0.0
Mehta (1969),100.0,0.0,0.0
Nemec (2005),100.0,0.0,0.0
Erdim (2015),100.0,0.0,0.0
Yu (2002),100.0,0.0,0.0
Cheng (2011),100.0,0.0,0.0
Felice (2004),100.0,0.0,0.0
Tallmadge (1970),99.59,0.11,0.3
Ozahi (2008),99.57,0.43,0.0
Dixon (2023),99.48,0.0,0.52
Avontuur (1996),99.21,0.0,0.79
Handley (1968),97.91,1.4,0.69
Reichelt (1972),97.91,1.85,0.24
Raichura (1999),96.2,0.0,3.8
Eisfeld (2001),94.9,3.15,1.96
Kuo (1978),88.19,11.81,0.0
Carman (1937),87.67,0.03,12.3
Macdonald (1979),85.65,13.91,0.45
Watanabe (1989),85.55,0.0,14.45
Kurten (1966),85.55,0.0,14.45
Stichlmair (1989),84.24,1.71,14.05
Meyer (1985),83.31,16.58,0.12
Guo (2017),82.26,12.61,5.12
Oneill (1997),74.86,2.43,22.71
Foscolo (1983),70.49,1.94,27.57
Critoph (1996),63.78,25.85,10.37
Foumeny (1993),62.89,0.0,37.11
Reger (2023),60.95,0.0,39.05
Fahien (1983),58.58,8.54,32.88
Wu (2025),50.44,0.04,49.52
Morcom (1946),40.77,0.0,59.23
Cheng (2021),37.58,42.72,19.7
Rose (1949),32.01,56.29,11.7
Lee (1994),25.21,10.0,64.79
Liu (1994),13.43,0.0,86.57
Xu (2026),8.46,91.54,0.0
Carpinlioglu (2008),5.2,63.23,31.57
Comiti (1989),3.18,0.0,96.82
Hayes (1995),2.93,1.23,95.84
Leva (1949),0.0,0.02,99.98
Montillet (2007),0.0,0.0,100.0
Hicks (1970),0.0,0.1,99.9
